,record_level,subject_level
accuracy,0.839795918367347,0.7780829031612645
sensitivity,0.9683783783783784,0.9445346036609046
specificity,0.44333333333333336,0.33882915173237754
auc,0.9275450450450452,0.7996874364721775
n_test,49.0,48.77
n_controls,12.0,12.12
